Q1,Q2,Q3,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5,Q5_T,Q6,Q6_T,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_T,Q8_1,Q8_2,Q9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_T,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_T,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q21,Q22,Q22_T,Q23,Q24,Q24_T,Q25,Q26,Q27
1,2,3,"1,4",1,0,0,1,0,0,0,0,2,,2,,"1,2,4,7",1,1,0,1,0,0,1,0,0,0,0,0,,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,,2,4,4,4,1,1,4,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,1,4,1,1,3,1,,4,3,3,3,3,5,5,5,5,5,1,1,1,1,1,1,5,2,1,78,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,1,3,3,1,3,19320,3,,2,3,,7,2,4
1,2,3,3,0,0,1,0,0,0,0,0,1,,1,,11,0,0,0,0,0,0,0,0,0,0,1,0,,2,7,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5,1,1,1,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,2,60,3,3,3,3,3,3,3,3,1,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,33810,4,,2,12,,3,1,3
1,1,1,"2,3",0,1,1,0,0,0,0,0,1,,6,,"1,2",1,1,0,0,0,0,0,0,0,0,0,0,,1,6,"1,2,5,8",1,1,0,0,1,0,0,1,0,0,0,0,,3,1,5,3,4,2,4,3,4,2,4,3,3,2,4,2,2,1,4,2,3,2,2,5,5,5,1,2,2,4,1,,3,3,4,4,5,4,4,1,3,4,3,5,3,3,2,2,5,1,3,88,2,3,2,1,5,3,3,5,2,5,1,5,4,4,1,2,3,5,2,2,2,3,4,1,2,4,89512,4,,1,2,,4,3,2
1,2,4,2,0,1,0,0,0,0,0,0,5,,1,,"7,10",0,0,0,0,0,0,1,0,0,1,0,0,,1,4,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,3,3,4,3,3,3,3,1,3,1,1,2,1,2,2,1,,2,2,5,2,5,3,3,4,5,3,1,1,1,1,1,1,4,3,1,85,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,3,89117,4,,2,13,Retail,2,2,1
1,2,4,3,0,0,1,0,0,0,0,0,4,,6,,"1,5,9",1,0,0,0,1,0,0,0,1,0,0,0,,3,9,"1,3,10",1,0,1,0,0,0,0,0,0,1,0,0,,5,3,3,4,5,4,4,3,5,5,5,4,3,5,4,4,3,4,2,4,5,3,4,3,4,4,5,4,3,3,1,,3,3,4,4,3,5,3,4,4,5,4,4,5,3,4,4,4,1,3,67,4,4,3,5,3,4,4,2,3,3,5,4,4,3,1,2,4,2,4,2,4,3,2,3,4,3,11237,3,,2,6,,2,3,2
1,1,2,2,0,1,0,0,0,0,0,0,1,,2,,"1,7,10",1,0,0,0,0,0,1,0,0,1,0,0,,2,7,"2,8",0,1,0,0,0,0,0,1,0,0,0,0,,1,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,3,4,4,4,1,1,1,1,2,2,1,2,1,1,1,,4,4,2,4,2,3,4,4,5,4,2,3,3,3,3,3,3,3,2,80,2,3,3,2,2,2,2,4,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,92782,1,,1,4,,4,3,1
1,2,2,"1,3,6",1,0,1,0,0,1,0,0,3,,6,,"7,10",0,0,0,0,0,0,1,0,0,1,0,0,,2,7,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,3,3,3,1,1,1,1,1,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,,4,4,2,4,1,3,3,3,3,4,2,1,1,1,2,2,2,2,2,71,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,59760,3,,2,13,Retail,2,2,1
1,2,5,3,0,0,1,0,0,0,0,0,1,,2,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,4,5,3,3,1,3,3,3,1,5,4,5,4,5,4,5,3,4,5,2,1,1,1,2,3,3,1,1,2,3,,4,5,5,4,4,5,5,5,5,1,1,1,1,1,4,3,3,3,2,40,2,3,3,4,3,3,4,4,4,5,5,3,4,4,5,5,4,4,5,5,4,4,4,4,3,5,75040,1,,2,13,Disabled,2,1,2
1,2,3,7,0,0,0,0,0,0,1,0,5,,1,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,6,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,,4,2,4,2,5,5,5,5,5,4,4,2,2,2,2,2,5,3,1,48,1,1,1,1,1,2,2,3,3,4,4,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,96792,1,,2,13,,2,1,4
1,2,4,2,0,1,0,0,0,0,0,0,1,,1,,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,9,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,2,4,2,2,2,2,3,2,3,3,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,10040,3,,2,3,,3,2,3
1,2,2,3,0,0,1,0,0,0,0,0,5,,2,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,5,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,2,1,1,,3,3,2,4,3,3,2,2,3,3,3,2,3,3,2,3,3,3,1,79,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,3,3,2,3,3,2,3,94621,8,,2,12,,2,1,5
1,1,6,2,0,1,0,0,0,0,0,0,1,,6,,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,9,11,0,0,0,0,0,0,0,0,0,0,1,0,,5,5,5,5,3,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,,4,2,2,2,2,3,3,4,4,3,3,4,4,4,4,4,4,2,2,11,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,96732,1,,1,4,,5,4,3
1,1,5,2,0,1,0,0,0,0,0,0,1,,1,,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,7,"3,5,6",0,0,1,0,1,1,0,0,0,0,0,0,,1,2,3,2,3,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,3,3,3,3,1,3,3,2,3,4,4,,2,2,2,4,2,5,5,5,5,5,3,4,5,5,5,3,4,3,2,99,2,4,4,3,3,3,3,4,5,4,3,3,3,4,3,3,3,3,5,5,3,3,3,3,3,3,94501,4,,2,6,,4,5,2
1,2,2,3,0,0,1,0,0,0,0,0,5,,2,,5,0,0,0,0,1,0,0,0,0,0,0,0,,1,5,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,5,3,3,3,1,1,1,,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,56,1,2,1,1,3,1,2,1,1,1,1,1,1,1,2,3,5,5,5,5,5,5,5,5,5,5,33511,8,,3,12,,4,2,6
1,2,1,3,0,0,1,0,0,0,0,0,5,,2,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,4,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,2,1,1,5,1,1,1,1,1,2,4,1,1,5,1,4,1,1,2,1,1,5,5,1,1,5,1,1,,4,1,3,5,1,1,2,3,1,1,2,1,2,1,1,1,1,3,4,60,5,1,5,5,1,1,5,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,1,1,1,93702,1,,2,12,,1,1,5
1,2,2,2,0,1,0,0,0,0,0,0,2,,6,,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,7,"4,7",0,0,0,1,0,0,1,0,0,0,0,0,,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,3,3,1,,4,3,3,4,4,4,4,4,5,4,5,3,3,4,3,4,5,1,2,82,4,4,3,4,4,4,5,5,4,4,5,4,4,3,2,4,4,2,2,1,1,1,1,1,2,1,31501,1,,1,5,,2,3,1
1,2,3,3,0,0,1,0,0,0,0,0,1,,1,,7,0,0,0,0,0,0,1,0,0,0,0,0,,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,4,3,4,5,3,3,4,5,5,5,4,5,5,5,3,4,4,5,4,4,5,4,5,4,5,4,3,5,5,2,,2,3,2,4,2,4,2,4,4,2,2,2,4,4,3,2,4,1,3,71,2,3,1,3,4,3,2,4,4,3,4,2,4,3,4,3,3,3,4,3,3,3,1,3,2,3,84770,3,,2,5,,2,2,7
1,1,4,2,0,1,0,0,0,0,0,0,1,,6,,"1,2,3,4,6,10",1,1,1,1,0,1,0,0,0,1,0,0,,2,7,"3,4,5,7,8",0,0,1,1,1,0,1,1,0,0,0,0,,3,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,1,,2,4,2,4,4,5,5,5,5,5,5,3,3,3,2,1,3,2,4,61,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,4,4,3,4,2,2,2,2,98444,1,,1,11,,5,4,2
1,1,2,3,0,0,1,0,0,0,0,0,1,,6,,3,0,0,1,0,0,0,0,0,0,0,0,0,,2,8,"2,8,10",0,1,0,0,0,0,0,1,0,1,0,0,,1,4,2,1,2,1,2,4,2,4,3,3,4,4,3,2,4,3,3,2,3,2,1,1,4,1,4,1,2,5,3,Message,5,3,2,5,5,4,5,4,4,5,4,4,4,3,4,4,5,3,4,37,5,3,3,5,5,4,4,5,4,4,3,2,3,5,3,3,1,1,2,1,2,3,2,2,1,2,30507,1,,1,13,Manufacturing,2,3,6
1,2,1,3,0,0,1,0,0,0,0,0,3,,2,,"1,2",1,1,0,0,0,0,0,0,0,0,0,0,,2,8,"1,2,3,4,5",1,1,1,1,1,0,0,0,0,0,0,0,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,,4,3,4,3,4,5,5,5,5,5,5,1,1,1,4,1,1,1,4,75,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,4,3,3,4,4,4,4,4,93630,5,,1,6,,6,3,3
1,2,4,4,0,0,0,1,0,0,0,0,1,,6,,"1,2,4",1,1,0,1,0,0,0,0,0,0,0,0,,1,2,"1,5,7",1,0,0,0,1,0,1,0,0,0,0,0,,2,3,2,5,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,3,3,2,2,5,1,,4,3,3,4,3,5,5,5,5,2,2,2,2,2,1,5,5,3,1,100,5,5,4,3,2,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,3,4,4,01104,3,,2,10,,5,4,2
1,2,2,3,0,0,1,0,0,0,0,0,2,,6,,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,10,11,0,0,0,0,0,0,0,0,0,0,1,0,,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,4,4,5,5,5,1,3,3,2,2,2,4,3,4,3,4,75,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,83686,1,,2,7,,4,4,4
1,2,3,2,0,1,0,0,0,0,0,0,5,,6,,7,0,0,0,0,0,0,1,0,0,0,0,0,,3,10,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,4,1,1,5,1,,1,4,4,2,2,4,4,4,4,2,2,3,3,3,3,2,2,3,1,36,1,1,1,1,1,1,2,1,1,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,21136,1,,1,10,,4,6,4
1,2,1,3,0,0,1,0,0,0,0,0,5,,6,,"2,3,4",0,1,1,1,0,0,0,0,0,0,0,0,,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,,3,3,2,2,3,2,3,3,2,3,1,3,3,3,2,3,3,2,1,60,3,2,2,2,3,4,5,4,3,2,4,4,3,2,3,3,3,3,1,5,2,2,3,3,3,3,33101,1,,1,12,,2,1,2
1,1,3,7,0,0,0,0,0,0,1,0,5,,2,,"1,8",1,0,0,0,0,0,0,1,0,0,0,0,,1,5,"1,8",1,0,0,0,0,0,0,1,0,0,0,0,,2,2,2,3,2,2,2,3,3,3,2,3,3,3,4,3,2,2,3,3,3,3,3,3,3,4,4,4,3,3,3,,2,3,2,3,3,3,3,3,3,3,1,4,3,2,2,2,3,2,3,56,3,3,2,3,3,2,3,3,3,1,3,3,1,3,3,3,3,3,3,4,4,4,3,3,4,3,91790,2,,2,5,,7,1,1
1,1,6,7,0,0,0,0,0,0,1,0,1,,6,,7,0,0,0,0,0,0,1,0,0,0,0,0,,1,6,"4,5,10",0,0,0,1,1,0,0,0,0,1,0,0,,3,4,4,4,2,3,4,4,4,4,2,2,4,4,4,4,2,4,3,4,3,1,1,1,2,2,3,2,2,4,1,,1,3,2,4,5,1,4,5,5,2,3,1,2,2,1,3,4,3,3,71,2,3,3,1,1,1,1,1,4,3,2,1,3,4,2,5,5,5,5,5,5,4,1,1,5,5,76016,1,,1,13,Retired,4,2,2
1,2,1,"3,4,6",0,0,1,1,0,1,0,0,1,,6,,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,7,"8,10",0,0,0,0,0,0,0,1,0,1,0,0,,4,2,5,3,3,3,3,3,3,3,2,2,3,3,4,2,2,2,1,3,3,3,3,2,4,4,5,2,2,5,1,,4,3,4,4,4,3,3,3,5,4,2,2,3,2,4,2,3,3,2,72,3,4,3,4,5,4,4,4,2,4,5,2,3,3,2,2,4,2,1,1,3,2,2,1,1,1,33567,6,,2,5,,2,2,2
1,2,3,3,0,0,1,0,0,0,0,0,1,,2,,"1,2,4,7,9,10",1,1,0,1,0,0,1,0,1,1,0,0,,1,6,"2,3,7",0,1,1,0,0,0,1,0,0,0,0,0,,3,2,3,2,1,1,2,1,1,2,3,3,3,3,1,1,2,1,1,2,3,1,1,1,3,1,2,1,1,2,1,,4,5,5,5,5,3,4,4,5,2,2,2,2,2,2,2,2,3,1,62,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,78741,3,,3,10,,2,7,3
1,2,4,2,0,1,0,0,0,0,0,0,2,,2,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,5,11,0,0,0,0,0,0,0,0,0,0,1,0,,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,4,3,2,2,4,3,4,3,2,5,1,,2,2,2,2,2,5,5,5,5,3,3,4,5,5,5,5,3,3,2,58,1,2,3,4,4,4,5,4,4,3,4,4,4,2,2,2,4,4,2,2,4,4,4,4,4,4,15062,1,,1,12,,2,2,3
1,1,2,3,0,0,1,0,0,0,0,0,2,,2,,11,0,0,0,0,0,0,0,0,0,0,1,0,,1,6,4,0,0,0,1,0,0,0,0,0,0,0,0,,2,1,3,4,4,1,1,1,3,3,1,1,4,1,4,1,1,1,2,2,2,3,1,1,4,1,4,1,1,2,1,,4,3,2,2,2,4,5,5,4,3,2,3,1,2,4,2,3,3,3,33,1,2,2,1,3,2,2,3,4,1,2,1,2,2,2,1,1,1,2,2,1,3,1,1,1,2,94134,2,,2,10,,3,3,2
1,1,1,3,0,0,1,0,0,0,0,0,5,,2,,"6,7",0,0,0,0,0,1,1,0,0,0,0,0,,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,1,1,1,1,3,1,4,1,1,1,1,,4,3,3,3,4,5,5,5,5,5,1,1,1,1,1,1,5,2,1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18218,1,,2,13,Retail,7,2,3
1,1,5,"4,7",0,0,0,1,0,0,1,0,4,,6,,7,0,0,0,0,0,0,1,0,0,0,0,0,,3,10,7,0,0,0,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,3,3,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,87,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,3,2,3,3,4,3,4,2,1,1,83634,1,,3,3,,3,4,6
